prompt_id,job_type,status,start_utc,end_utc,exec_seconds,model,loras,width,height,megapixels,steps,reference_image,edit,model_swap,cached_nodes,cache_replay,output_file,in_book
2e3f2cf7-f036-4417-b39c-d6ee5b909e4b,klein_ref,success,2026-09-25T13:09:20.014+00:00,2026-09-25T13:09:41.859+00:00,21.84,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,True,0,False,halo_klein_ref_00331_.png,False
89dd3b19-7b08-4cb7-b5b8-94797bbdd992,klein_ref,success,2026-09-25T13:09:58.491+00:00,2026-09-25T13:10:15.493+00:00,17.0,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,6,False,halo_klein_ref_00332_.png,False
0d5afe10-6feb-4bbf-bdda-856b77e8d2d7,qwen_edit,success,2026-09-25T13:10:28.116+00:00,2026-09-25T13:11:25.556+00:00,57.44,qwen_image_edit_2511_fp8mixed.safetensors,Qwen-Image-Edit-2511-Lightning-4steps-V1.0-bf16.safetensors,1328,800,1.06,4,False,True,True,0,False,halo_edit_00108_.png,True
f3dba220-e041-47f9-a9d6-c88fd2400549,klein_ref,success,2026-09-25T13:11:43.642+00:00,2026-09-25T13:12:05.175+00:00,21.53,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,True,0,False,halo_klein_ref_00333_.png,False
cd459087-f736-4050-8b50-94f1927540a9,klein_ref,success,2026-09-25T13:12:21.250+00:00,2026-09-25T13:12:37.642+00:00,16.39,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,7,False,halo_klein_ref_00334_.png,False
2cad9045-9eb8-4b98-8e1c-b66ea58707c3,qwen_edit,success,2026-09-25T13:12:55.281+00:00,2026-09-25T13:13:52.471+00:00,57.19,qwen_image_edit_2511_fp8mixed.safetensors,Qwen-Image-Edit-2511-Lightning-4steps-V1.0-bf16.safetensors,1328,800,1.06,4,False,True,True,0,False,halo_edit_00109_.png,False
e03ccebe-b0ac-46fd-a7e4-05790f4985b2,klein_ref,success,2026-09-25T13:14:08.875+00:00,2026-09-25T13:14:30.785+00:00,21.91,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,True,0,False,halo_klein_ref_00335_.png,False
3caeaf65-b6cd-4732-bf51-988710243b18,klein_ref,success,2026-09-25T13:14:47.884+00:00,2026-09-25T13:15:04.524+00:00,16.64,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,6,False,halo_klein_ref_00336_.png,False
431f9aa8-51ee-4f4e-9556-b789f33d3ef7,klein_ref,success,2026-09-25T13:15:21.785+00:00,2026-09-25T13:15:38.414+00:00,16.63,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,6,False,halo_klein_ref_00337_.png,True
7407b7ab-7000-48e8-acd8-ebf6356d5ae5,klein,success,2026-09-25T13:15:54.987+00:00,2026-09-25T13:16:03.130+00:00,8.14,flux-2-klein-4b.safetensors,,1344,768,1.03,4,False,False,False,6,False,halo_klein_00060_.png,True
8c92cc1b-c4c2-4076-a702-1e186518985f,klein_ref,success,2026-09-25T13:16:22.529+00:00,2026-09-25T13:16:39.129+00:00,16.6,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,6,False,halo_klein_ref_00338_.png,False
5a1a97bb-47c3-4e1b-bf73-0ab88192c957,klein_ref,success,2026-09-25T13:16:54.961+00:00,2026-09-25T13:17:10.947+00:00,15.99,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,6,False,halo_klein_ref_00339_.png,True
3c59e052-a716-4b31-aa05-2cbb28ef88d0,klein_ref,success,2026-09-25T13:17:42.025+00:00,2026-09-25T13:17:58.240+00:00,16.21,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,6,False,halo_klein_ref_00340_.png,False
653f4437-2db8-4982-8258-84ff8e606ec4,qwen_edit,success,2026-09-25T13:18:12.982+00:00,2026-09-25T13:19:09.955+00:00,56.97,qwen_image_edit_2511_fp8mixed.safetensors,Qwen-Image-Edit-2511-Lightning-4steps-V1.0-bf16.safetensors,1328,800,1.06,4,False,True,True,0,False,halo_edit_00110_.png,True
