prompt_id,job_type,status,start_utc,end_utc,exec_seconds,model,loras,width,height,megapixels,steps,reference_image,edit,model_swap,cached_nodes,cache_replay,output_file,in_book
c24f7962-5154-4678-9207-3fee45f6ed84,qwen_edit,success,2026-09-25T02:29:06.074+00:00,2026-09-25T02:30:40.408+00:00,94.33,qwen_image_edit_2511_fp8mixed.safetensors,Qwen-Image-Edit-2511-Lightning-4steps-V1.0-bf16.safetensors,1328,800,1.06,4,False,True,True,0,False,halo_edit_00060_.png,True
3e8bfef3-bb0b-49d2-af3d-b4e2871087b0,klein,success,2026-09-25T02:31:15.554+00:00,2026-09-25T02:31:38.928+00:00,23.37,flux-2-klein-4b.safetensors,,1344,768,1.03,4,False,False,True,0,False,halo_klein_00027_.png,True
85b32336-c246-450e-8215-79b0cab6ff1f,klein_ref,success,2026-09-25T02:31:53.631+00:00,2026-09-25T02:32:15.755+00:00,22.12,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,6,False,halo_klein_ref_00149_.png,False
cad904d3-a1e1-4858-a58c-3a91767cce8f,klein_ref,success,2026-09-25T02:32:47.943+00:00,2026-09-25T02:33:09.099+00:00,21.16,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,6,False,halo_klein_ref_00150_.png,False
ab5be41c-9cbf-4393-95d6-441ac3e226f5,klein_ref,success,2026-09-25T02:33:32.051+00:00,2026-09-25T02:33:54.289+00:00,22.24,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,6,False,halo_klein_ref_00151_.png,True
2864eaa1-41e2-477f-8bfc-c81166920f63,klein_ref,success,2026-09-25T02:34:16.774+00:00,2026-09-25T02:34:37.171+00:00,20.4,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,6,False,halo_klein_ref_00152_.png,False
38a3d3bd-ae46-4eaf-bf85-599af6905922,klein_ref,success,2026-09-25T02:34:52.721+00:00,2026-09-25T02:35:14.864+00:00,22.14,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,6,False,halo_klein_ref_00153_.png,True
26325e9b-77f3-4cee-a448-b0490b33bc15,klein_ref,success,2026-09-25T02:35:31.282+00:00,2026-09-25T02:35:53.039+00:00,21.76,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,6,False,halo_klein_ref_00154_.png,False
9b80aaf9-6a08-4454-bff1-ca815681b944,klein_ref,success,2026-09-25T02:36:08.235+00:00,2026-09-25T02:36:30.660+00:00,22.43,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,6,False,halo_klein_ref_00155_.png,True
ce71b46d-983f-4897-bcf5-f31ddceae498,klein_ref,success,2026-09-25T02:36:48.227+00:00,2026-09-25T02:37:10.813+00:00,22.59,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,6,False,halo_klein_ref_00156_.png,False
f470ffa1-2ced-4b5d-8bd9-27ecf7fd5a83,klein_ref,success,2026-09-25T02:37:28.020+00:00,2026-09-25T02:37:50.036+00:00,22.02,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,6,False,halo_klein_ref_00157_.png,True
c71aa966-0663-4a90-abc2-c7cfab1a5907,klein_ref,success,2026-09-25T02:38:08.904+00:00,2026-09-25T02:38:31.007+00:00,22.1,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,6,False,halo_klein_ref_00158_.png,False
14d248fe-47ea-4f97-b5bf-83cd8fc1c878,klein_ref,success,2026-09-25T02:38:50.587+00:00,2026-09-25T02:39:11.866+00:00,21.28,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,6,False,halo_klein_ref_00159_.png,False
148d2c8a-e94f-4910-a78b-ca7bd925bc8b,qwen_edit,success,2026-09-25T02:39:28.453+00:00,2026-09-25T02:41:05.262+00:00,96.81,qwen_image_edit_2511_fp8mixed.safetensors,Qwen-Image-Edit-2511-Lightning-4steps-V1.0-bf16.safetensors,1328,800,1.06,4,False,True,True,0,False,halo_edit_00061_.png,True
366a2a19-83db-4ad2-9c73-e9d9c88af65f,klein_ref,success,2026-09-25T02:41:33.605+00:00,2026-09-25T02:42:04.543+00:00,30.94,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,True,0,False,halo_klein_ref_00160_.png,False
1ec08100-ffdd-4a1f-9400-9bc4b6caf3eb,qwen_edit,success,2026-09-25T02:42:16.300+00:00,2026-09-25T02:43:56.956+00:00,100.66,qwen_image_edit_2511_fp8mixed.safetensors,Qwen-Image-Edit-2511-Lightning-4steps-V1.0-bf16.safetensors,1328,800,1.06,4,False,True,True,0,False,halo_edit_00062_.png,True
8407b2cb-4b46-4711-8474-37db5a5b4729,klein_ref,success,2026-09-25T02:44:20.146+00:00,2026-09-25T02:44:50.353+00:00,30.21,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,True,0,False,halo_klein_ref_00161_.png,False
b8ab3fec-c190-461a-8c99-0f7c47e86414,klein_ref,success,2026-09-25T02:45:08.139+00:00,2026-09-25T02:45:28.396+00:00,20.26,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,6,False,halo_klein_ref_00162_.png,False
